onet_code,occupation,human_beta,job_zone,employment_2024,employment_growth_pct,openings_annual,gpt_percentile,gpt_high,growth_rank,openings_rank,labor_market_score,valid_routes,good_transitions,transition_score,target_label
11-1011.00,Chief Executives,0.35,5,309.4,4.3,22.2,56.229685807150595,False,0.6619718309859155,0.7648970747562297,0.7134344528710725,5,0,0.0,Nicht hoch GPT-exponiert
11-1011.03,Chief Sustainability Officers,0.3888888888888888,5,309.4,4.3,22.2,62.94691224268689,False,0.6619718309859155,0.7648970747562297,0.7134344528710725,5,0,0.0,Nicht hoch GPT-exponiert
11-1021.00,General and Operations Managers,0.3846153846153846,4,3712.9,4.4,308.7,62.4593716143012,False,0.676056338028169,0.9869989165763814,0.8315276273022751,5,1,0.2,Nicht hoch GPT-exponiert
11-1031.00,Legislators,0.5166666666666666,4,27.7,3.4,2.2,81.9068255687974,True,0.5579631635969664,0.2833152762730228,0.4206392199349946,5,2,0.4,Hoch GPT-exponiert mit guten Wechseloptionen
11-2011.00,Advertising and Promotions Managers,0.5465116279069767,4,27.0,-2.2,2.1,86.6738894907909,True,0.18580715059588299,0.27410617551462624,0.2299566630552546,5,0,0.0,Hoch GPT-exponiert mit begrenzten Wechseloptionen
11-2021.00,Marketing Managers,0.578125,4,407.0,6.6,34.3,89.81581798483207,True,0.8331527627302275,0.8461538461538461,0.8396533044420369,5,1,0.2,Hoch GPT-exponiert mit begrenzten Wechseloptionen
11-2022.00,Sales Managers,0.4833333333333333,4,619.5,4.7,49.0,76.92307692307693,False,0.7112676056338029,0.8791982665222102,0.7952329360780066,5,1,0.2,Nicht hoch GPT-exponiert
11-2032.00,Public Relations Managers,0.5750000000000001,4,83.2,5.0,6.6,89.1115926327194,True,0.7345612134344529,0.52329360780065,0.6289274106175515,5,0,0.0,Hoch GPT-exponiert mit begrenzten Wechseloptionen
11-2033.00,Fundraising Managers,0.5,4,45.7,4.2,3.6,79.68580715059588,True,0.6505958829902492,0.38461538461538464,0.5176056338028169,5,0,0.0,Hoch GPT-exponiert mit begrenzten Wechseloptionen
11-3012.00,Administrative Services Managers,0.5,3,271.2,4.6,23.2,79.68580715059588,True,0.7053087757313109,0.776273022751896,0.7407908992416035,5,2,0.4,Hoch GPT-exponiert mit guten Wechseloptionen
11-3013.00,Facilities Managers,0.2727272727272727,3,151.4,3.8,13.2,45.61213434452871,False,0.6115926327193932,0.6635969664138678,0.6375947995666305,5,1,0.2,Nicht hoch GPT-exponiert
11-3013.01,Security Managers,0.5357142857142857,4,151.4,3.8,13.2,85.42795232936078,True,0.6115926327193932,0.6635969664138678,0.6375947995666305,5,3,0.6,Hoch GPT-exponiert mit guten Wechseloptionen
11-3021.00,Computer and Information Systems Managers,0.5606060606060607,4,667.1,15.2,55.6,87.64897074756229,True,0.9653304442036836,0.8938244853737811,0.9295774647887324,5,3,0.6,Hoch GPT-exponiert mit guten Wechseloptionen
11-3031.00,Financial Managers,0.4259259259259259,4,868.6,14.8,74.6,68.47237269772481,False,0.9609967497291441,0.9203683640303358,0.9406825568797399,5,0,0.0,Nicht hoch GPT-exponiert
11-3031.01,Treasurers and Controllers,0.4078947368421052,4,868.6,14.8,74.6,66.19718309859155,False,0.9609967497291441,0.9203683640303358,0.9406825568797399,5,0,0.0,Nicht hoch GPT-exponiert
11-3031.03,Investment Fund Managers,0.5285714285714286,5,868.6,14.8,74.6,84.12784398699891,True,0.9609967497291441,0.9203683640303358,0.9406825568797399,5,0,0.0,Hoch GPT-exponiert mit begrenzten Wechseloptionen
11-3051.00,Industrial Production Managers,0.3484848484848485,4,241.9,1.9,17.1,56.01300108342362,False,0.39219934994582883,0.7275189599133262,0.5598591549295775,5,1,0.2,Nicht hoch GPT-exponiert
11-3051.01,Quality Control Systems Managers,0.4716981132075472,4,241.9,1.9,17.1,74.86457204767063,False,0.39219934994582883,0.7275189599133262,0.5598591549295775,5,1,0.2,Nicht hoch GPT-exponiert
11-3051.02,Geothermal Production Managers,0.3833333333333333,3,241.9,1.9,17.1,62.29685807150596,False,0.39219934994582883,0.7275189599133262,0.5598591549295775,5,4,0.8,Nicht hoch GPT-exponiert
11-3051.03,Biofuels Production Managers,0.1785714285714285,4,241.9,1.9,17.1,35.42795232936078,False,0.39219934994582883,0.7275189599133262,0.5598591549295775,5,0,0.0,Nicht hoch GPT-exponiert
11-3051.04,Biomass Power Plant Managers,0.28125,4,241.9,1.9,17.1,47.12892741061755,False,0.39219934994582883,0.7275189599133262,0.5598591549295775,5,1,0.2,Nicht hoch GPT-exponiert
11-3051.06,Hydroelectric Production Managers,0.3142857142857143,3,241.9,1.9,17.1,51.35427952329361,False,0.39219934994582883,0.7275189599133262,0.5598591549295775,5,0,0.0,Nicht hoch GPT-exponiert
11-3061.00,Purchasing Managers,0.4714285714285714,4,83.5,3.1,6.4,74.75622968580716,False,0.5216684723726978,0.5173347778981582,0.519501625135428,5,2,0.4,Nicht hoch GPT-exponiert
11-3071.00,"Transportation, Storage, and Distribution Managers",0.4732142857142857,4,216.7,6.1,18.5,75.18959913326111,False,0.8022751895991332,0.7432286023835319,0.7727518959913326,5,1,0.2,Nicht hoch GPT-exponiert
11-3071.04,Supply Chain Managers,0.4727272727272727,4,216.7,6.1,18.5,75.08125677139762,False,0.8022751895991332,0.7432286023835319,0.7727518959913326,5,0,0.0,Nicht hoch GPT-exponiert
11-3111.00,Compensation and Benefits Managers,0.4605263157894737,4,20.9,0.2,1.5,73.45612134344529,False,0.2768147345612134,0.21451787648970747,0.24566630552546043,5,0,0.0,Nicht hoch GPT-exponiert
11-3121.00,Human Resources Managers,0.45,4,221.9,5.0,17.9,72.10184182015168,False,0.7345612134344529,0.7323943661971831,0.733477789815818,5,0,0.0,Nicht hoch GPT-exponiert
11-3131.00,Training and Development Managers,0.4772727272727273,4,46.4,5.8,3.8,76.1646803900325,False,0.7833152762730228,0.3916576381365114,0.5874864572047671,5,1,0.2,Nicht hoch GPT-exponiert
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.2448979591836734,4,836.1,-1.3,85.5,42.145178764897075,False,0.218851570964247,0.9306608884073673,0.5747562296858071,5,0,0.0,Nicht hoch GPT-exponiert
11-9021.00,Construction Managers,0.4,4,550.3,8.7,46.8,64.68039003250271,False,0.8965330444203684,0.8732394366197183,0.8848862405200433,5,2,0.4,Nicht hoch GPT-exponiert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.515625,4,90.2,-2.5,5.5,81.79848320693391,True,0.1771397616468039,0.48808234019501623,0.33261105092091003,5,2,0.4,Hoch GPT-exponiert mit guten Wechseloptionen
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.4545454545454545,5,333.3,-1.5,20.8,72.48104008667389,False,0.2134344528710726,0.757854821235103,0.4856446370530878,5,1,0.2,Nicht hoch GPT-exponiert
11-9033.00,"Education Administrators, Postsecondary",0.475609756097561,5,226.6,1.7,15.1,75.73131094257855,False,0.37378114842903576,0.7074756229685807,0.5406283856988082,5,2,0.4,Nicht hoch GPT-exponiert
11-9041.00,Architectural and Engineering Managers,0.3857142857142857,5,212.5,3.8,14.5,62.62188515709642,False,0.6115926327193932,0.7009750812567714,0.6562838569880823,5,0,0.0,Nicht hoch GPT-exponiert
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.2758620689655172,4,212.5,3.8,14.5,45.937161430119176,False,0.6115926327193932,0.7009750812567714,0.6562838569880823,5,1,0.2,Nicht hoch GPT-exponiert
11-9051.00,Food Service Managers,0.3958333333333333,2,352.8,6.4,42.0,63.59696641386782,False,0.8223185265438786,0.8613217768147345,0.8418201516793066,5,5,1.0,Nicht hoch GPT-exponiert
11-9071.00,Gambling Managers,0.4852941176470588,2,5.1,1.2,0.6,77.35644637053088,False,0.33098591549295775,0.08559046587215602,0.20828819068255688,5,0,0.0,Nicht hoch GPT-exponiert
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.3823529411764705,4,43.2,7.7,5.5,62.13434452871073,False,0.8613217768147345,0.48808234019501623,0.6747020585048754,5,2,0.4,Nicht hoch GPT-exponiert
11-9081.00,Lodging Managers,0.3804347826086956,4,52.0,3.4,5.4,61.75514626218852,False,0.5579631635969664,0.4799566630552546,0.5189599133261105,5,1,0.2,Nicht hoch GPT-exponiert
11-9111.00,Medical and Health Services Managers,0.3714285714285714,4,616.2,23.2,62.1,60.238353196099666,False,0.9924160346695557,0.9024918743228603,0.947453954496208,5,0,0.0,Nicht hoch GPT-exponiert
11-9121.00,Natural Sciences Managers,0.5666666666666667,5,104.3,3.7,8.5,87.97399783315277,True,0.5964247020585048,0.570964247020585,0.5836944745395449,5,2,0.4,Hoch GPT-exponiert mit guten Wechseloptionen
11-9121.01,Clinical Research Coordinators,0.4661016949152542,4,104.3,3.7,8.5,74.21451787648971,False,0.5964247020585048,0.570964247020585,0.5836944745395449,5,2,0.4,Nicht hoch GPT-exponiert
11-9121.02,Water Resource Specialists,0.4268292682926829,4,104.3,3.7,8.5,68.85157096424702,False,0.5964247020585048,0.570964247020585,0.5836944745395449,5,0,0.0,Nicht hoch GPT-exponiert
11-9131.00,Postmasters and Mail Superintendents,0.4523809523809523,2,13.1,-3.5,0.9,72.31852654387866,False,0.15059588299024917,0.13488624052004333,0.14274106175514625,5,0,0.0,Nicht hoch GPT-exponiert
11-9141.00,"Property, Real Estate, and Community Association Managers",0.4318181818181818,4,466.1,3.6,39.0,69.66413867822318,False,0.5828819068255688,0.8526543878656555,0.7177681473456121,5,2,0.4,Nicht hoch GPT-exponiert
11-9151.00,Social and Community Service Managers,0.4464285714285714,4,219.8,6.4,18.6,71.5059588299025,False,0.8223185265438786,0.7464788732394366,0.7843986998916577,5,3,0.6,Nicht hoch GPT-exponiert
11-9161.00,Emergency Management Directors,0.6,4,13.2,3.0,1.0,92.19934994582883,True,0.5032502708559047,0.1495124593716143,0.3263813651137595,5,3,0.6,Hoch GPT-exponiert mit guten Wechseloptionen
11-9171.00,Funeral Home Managers,0.5357142857142857,3,32.1,4.1,2.6,85.42795232936078,True,0.6392199349945829,0.32340195016251355,0.48131094257854823,5,2,0.4,Hoch GPT-exponiert mit guten Wechseloptionen
11-9179.01,Fitness and Wellness Coordinators,0.2934782608695652,4,25.1,6.5,2.1,48.645720476706394,False,0.8293607800650055,0.27410617551462624,0.5517334777898159,5,0,0.0,Nicht hoch GPT-exponiert
11-9179.02,Spa Managers,0.3571428571428571,3,25.1,6.5,2.1,57.52979414951246,False,0.8293607800650055,0.27410617551462624,0.5517334777898159,5,1,0.2,Nicht hoch GPT-exponiert
11-9199.01,Regulatory Affairs Managers,0.5384615384615385,4,1333.7,4.5,106.7,86.07800650054172,True,0.6923076923076923,0.9420368364030336,0.8171722643553629,5,0,0.0,Hoch GPT-exponiert mit begrenzten Wechseloptionen
